feature_columns,fscores
positionID_00005400,4.52477499244
positionID_00002188,4.4832525685
positionID_00001713,4.39712402579
positionID_00004383,4.38875222973
age_00000017,4.38784637864
age_00000015,4.36439262055
positionID_00001048,4.27115676001
positionID_00004615,4.1244118351
positionID_00006086,4.12280565824
positionID_00000968,4.11199503519
residence_00000064,4.09080556809
positionID_00000829,4.08682840092
residence_00000328,4.06568066374
positionID_00006276,3.98814860755
positionID_00003820,3.95769462341
positionID_00007650,3.90239621896
education_3,3.90212405361
positionID_00000843,3.8876030425
positionID_00004975,3.86502282647
sitesetID_2,3.82783704314
positionID_00007423,3.7980585499
positionID_00003781,3.7541770685
positionID_00005377,3.69234688452
positionID_00000029,3.58380990497
positionID_00004958,3.56311683131
residence_00001105,3.53040358794
positionID_00004591,3.50257275399
positionID_00003564,3.4723389006
ratio_click_position_slide_4,3.46495580319
positionID_00006000,3.44922690806
positionID_00001476,3.4474274656
haveBaby_0,3.3842052004
hometown_00002392,3.2339407222
residence_00001901,3.21541419185
positionID_00002512,3.19212112549
residence_00000067,3.13632822725
appCategory_level2_00000001,3.10801803393
positionID_00002390,3.0780076057
ratio_click_user_slide_5,3.05573518812
telecomsOperator_0,3.01526830385
hometown_00000703,3.01101251207
positionID_00003331,2.90815934911
residence_00000763,2.89199767102
positionID_00002092,2.85685604609
positionID_00004443,2.83071330944
positionID_00003413,2.82673264863
residence_00000533,2.80171103303
residence_00000201,2.78846282935
positionID_00000665,2.78752440435
hometown_00003316,2.7733250905
hometown_00002796,2.76514493308
residence_00001272,2.71531462441
positionID_00007075,2.67865315246
positionID_00005736,2.64242015939
residence_00000254,2.59315324904
positionID_00001281,2.5895948346
positionID_00005637,2.58941432812
positionID_00004305,2.57507720943
hometown_00003059,2.55598742088
residence_00000125,2.54651411002
hometown_00001328,2.54478808253
residence_00000769,2.53833193112
positionID_00003570,2.53664576793
hometown_00003303,2.53279501922
positionID_00003920,2.46306479183
positionID_00007338,2.44312389557
hometown_00003290,2.44181624962
positionID_00001211,2.43790815584
positionID_00002536,2.4321008484
positionID_00000008,2.40501596356
positionID_00005024,2.33378160658
positionID_00001245,2.33372021373
hometown_00003312,2.31669755878
residence_00000502,2.31502466391
positionID_00005449,2.28956035572
residence_00000205,2.27969206492
hometown_00000492,2.27630455949
hometown_00000207,2.27450280873
hometown_00002306,2.23441954641
hometown_00001178,2.230997805
positionID_00006345,2.21718553395
positionID_00002415,2.1743218641
hometown_00002437,2.15561759579
positionID_00000010,2.12517571698
positionID_00000834,2.12167208814
residence_00001006,2.07831612608
hometown_00002757,1.99459825704
positionID_00004110,1.98881409534
positionID_00003930,1.94418592768
positionID_00000039,1.94066833413
positionID_00001288,1.87262607485
positionID_00003473,1.81346109509
ratio_buy_app_slide_1,1.74815093968
positionID_00005008,1.74351126653
residence_00001692,1.74350852248
age_00000001,1.68988662298
appCategory_level2_00000002,1.62733591048
hometown_00002999,1.61006230606
age_00000018,1.58754207363
positionID_00001513,1.57259546577
ratio_buy_app_slide_0,1.54983089369
positionID_00000973,1.54625810435
positionID_00000842,1.53931948644
positionID_00003700,1.52964028516
positionID_00000831,1.52871600833
hometown_00001901,1.52110468054
positionID_00005180,1.51782399067
residence_00000310,1.5072939931
positionID_00005943,1.50252718392
residence_00001593,1.49690459954
haveBaby_1,1.49411313664
positionID_00007159,1.49325631607
haveBaby_2,1.48791260889
positionID_00000376,1.47209970168
hometown_00001397,1.47108421085
positionID_00001197,1.45193808531
positionID_00007096,1.44381023914
positionID_00006492,1.44123383215
positionID_00006076,1.44002852199
residence_00002192,1.43874040299
positionID_00000845,1.4376385393
residence_00000952,1.4316585559
positionID_00001049,1.423517032
positionID_00006869,1.40623549182
residence_00000401,1.40007143188
positionID_00000322,1.38387871517
positionID_00004565,1.37746499624
positionID_00003039,1.37734033224
hometown_00000209,1.37638055391
hometown_00000903,1.3627903474
positionID_00006752,1.35749952767
residence_00000503,1.34423791919
positionID_00002182,1.32875986988
positionID_00001489,1.32765351829
positionID_00002627,1.32482001556
telecomsOperator_1,1.29746794668
age_00000011,1.28371907455
